t_ns,signal,voltage,value
21965000,SWDIO_SAMPLE_T,3.420,3.000
21970000,SWCLK,0.000,
21970000,SWDIO,0.000,
21975000,SWCLK,3.300,
21975000,SWDIO_SAMPLE_T,3.420,4.000
21980000,SWCLK,0.000,
21985000,SWCLK,3.300,
21985000,SWDIO_SAMPLE_T,3.420,5.000
21990000,SWCLK,0.000,
21990000,SWDIO,3.300,
21995000,SWCLK,3.300,
21995000,SWDIO_SAMPLE_T,3.420,6.000
22000000,SWCLK,0.000,
22000000,SWDIO,0.000,
22005000,SWCLK,3.300,
22005000,SWDIO_SAMPLE_T,3.420,7.000
22010000,SWCLK,0.000,
22010000,SWDIO,3.300,
22015000,SWCLK,3.300,
22015000,SWDIO_SAMPLE_T,3.420,8.000
22020000,SWCLK,0.000,
22020000,SWDIO,3.100,
22025000,SWCLK,3.300,
22025000,STEP_PHASE_SendAck_Read,3.550,3.000
22025000,SWDIO,3.200,
22030000,SWCLK,0.000,
22030000,SWDIO_SAMPLE_H,3.420,1.000
22035000,SWCLK,3.300,
22035000,SWDIO,0.100,
22040000,SWCLK,0.000,
22040000,SWDIO_SAMPLE_H,3.420,2.000
22045000,SWCLK,3.300,
22050000,SWCLK,0.000,
22050000,SWDIO_SAMPLE_H,3.420,3.000
22055000,SWCLK,3.300,
22055000,STEP_PHASE_SendData_Read,3.550,5.000
22055000,SWDIO,3.200,
22060000,SWCLK,0.000,
22060000,SWDIO_SAMPLE_H,3.420,1.000
22065000,SWCLK,3.300,
22070000,SWCLK,0.000,
22070000,SWDIO_SAMPLE_H,3.420,2.000
22075000,SWCLK,3.300,
22080000,SWCLK,0.000,
22080000,SWDIO_SAMPLE_H,3.420,3.000
22085000,SWCLK,3.300,
22085000,SWDIO,0.100,
22090000,SWCLK,0.000,
22090000,SWDIO_SAMPLE_H,3.420,4.000
22095000,SWCLK,3.300,
22095000,SWDIO,3.200,
22100000,SWCLK,0.000,
22100000,SWDIO_SAMPLE_H,3.420,5.000
22105000,SWCLK,3.300,
22110000,SWCLK,0.000,
22110000,SWDIO_SAMPLE_H,3.420,6.000
22115000,SWCLK,3.300,
22120000,SWCLK,0.000,
22120000,SWDIO_SAMPLE_H,3.420,7.000
22125000,SWCLK,3.300,
22125000,SWDIO,0.100,
22130000,SWCLK,0.000,
22130000,SWDIO_SAMPLE_H,3.420,8.000
22135000,SWCLK,3.300,
22140000,SWCLK,0.000,
22140000,SWDIO_SAMPLE_H,3.420,9.000
22145000,SWCLK,3.300,
22150000,SWCLK,0.000,
22150000,SWDIO_SAMPLE_H,3.420,10.000
22155000,SWCLK,3.300,
22155000,SWDIO,3.200,
22160000,SWCLK,0.000,
22160000,SWDIO_SAMPLE_H,3.420,11.000
22165000,SWCLK,3.300,
22165000,SWDIO,0.100,
22170000,SWCLK,0.000,
22170000,SWDIO_SAMPLE_H,3.420,12.000
22175000,SWCLK,3.300,
22175000,SWDIO,3.200,
22180000,SWCLK,0.000,
22180000,SWDIO_SAMPLE_H,3.420,13.000
22185000,SWCLK,3.300,
22185000,SWDIO,0.100,
22190000,SWCLK,0.000,
22190000,SWDIO_SAMPLE_H,3.420,14.000
22195000,SWCLK,3.300,
22200000,SWCLK,0.000,
22200000,SWDIO_SAMPLE_H,3.420,15.000
22205000,SWCLK,3.300,
22210000,SWCLK,0.000,
22210000,SWDIO_SAMPLE_H,3.420,16.000
22215000,SWCLK,3.300,
22215000,SWDIO,3.200,
22220000,SWCLK,0.000,
22220000,SWDIO_SAMPLE_H,3.420,17.000
22225000,SWCLK,3.300,
22225000,SWDIO,0.100,
22230000,SWCLK,0.000,
22230000,SWDIO_SAMPLE_H,3.420,18.000
22235000,SWCLK,3.300,
22240000,SWCLK,0.000,
22240000,SWDIO_SAMPLE_H,3.420,19.000
22245000,SWCLK,3.300,
22250000,SWCLK,0.000,
22250000,SWDIO_SAMPLE_H,3.420,20.000
22255000,SWCLK,3.300,
22260000,SWCLK,0.000,
22260000,SWDIO_SAMPLE_H,3.420,21.000
22265000,SWCLK,3.300,
22270000,SWCLK,0.000,
22270000,SWDIO_SAMPLE_H,3.420,22.000
22275000,SWCLK,3.300,
22275000,SWDIO,3.200,
22280000,SWCLK,0.000,
22280000,SWDIO_SAMPLE_H,3.420,23.000
22285000,SWCLK,3.300,
22290000,SWCLK,0.000,
22290000,SWDIO_SAMPLE_H,3.420,24.000
22295000,SWCLK,3.300,
22300000,SWCLK,0.000,
22300000,SWDIO_SAMPLE_H,3.420,25.000
22305000,SWCLK,3.300,
22310000,SWCLK,0.000,
22310000,SWDIO_SAMPLE_H,3.420,26.000
22315000,SWCLK,3.300,
22315000,SWDIO,0.100,
22320000,SWCLK,0.000,
22320000,SWDIO_SAMPLE_H,3.420,27.000
22325000,SWCLK,3.300,
22325000,SWDIO,3.200,
22330000,SWCLK,0.000,
22330000,SWDIO_SAMPLE_H,3.420,28.000
22335000,SWCLK,3.300,
22335000,SWDIO,0.100,
22340000,SWCLK,0.000,
22340000,SWDIO_SAMPLE_H,3.420,29.000
22345000,SWCLK,3.300,
22350000,SWCLK,0.000,
22350000,SWDIO_SAMPLE_H,3.420,30.000
22355000,SWCLK,3.300,
22360000,SWCLK,0.000,
22360000,SWDIO_SAMPLE_H,3.420,31.000
22365000,SWCLK,3.300,
22370000,SWCLK,0.000,
22370000,SWDIO_SAMPLE_H,3.420,32.000
22375000,SWCLK,3.300,
22375000,STEP_PHASE_SendParity_Read,3.550,6.000
22380000,SWCLK,0.000,
22380000,SWDIO_SAMPLE_H,3.420,33.000
22385000,SWCLK,3.300,
22385000,STEP_PHASE_TurnaroundToHost_Read,3.550,7.000
22385000,SWDIO,3.100,
22390000,SWCLK,0.000,
22395000,SWCLK,3.300,
22400000,SWCLK,0.000,
22400000,STEP_PHASE_CollectRequest,3.550,2.000
22400000,SWDIO,3.300,
22400000,SWDIO,0.000,
22405000,SWCLK,3.300,
22405000,SWDIO_SAMPLE_T,3.420,0.000
22410000,SWCLK,0.000,
22415000,SWCLK,3.300,
22415000,SWDIO_SAMPLE_T,3.420,0.000
22420000,SWCLK,0.000,
22425000,SWCLK,3.300,
22425000,SWDIO_SAMPLE_T,3.420,0.000
22430000,SWCLK,0.000,
22435000,SWCLK,3.300,
22435000,SWDIO_SAMPLE_T,3.420,0.000
22440000,SWCLK,0.000,
22445000,SWCLK,3.300,
22445000,SWDIO_SAMPLE_T,3.420,0.000
22450000,SWCLK,0.000,
22455000,SWCLK,3.300,
22455000,SWDIO_SAMPLE_T,3.420,0.000
22460000,SWCLK,0.000,
22465000,SWCLK,3.300,
22465000,SWDIO_SAMPLE_T,3.420,0.000
22470000,SWCLK,0.000,
22475000,SWCLK,3.300,
22475000,SWDIO_SAMPLE_T,3.420,0.000
22480000,SWCLK,0.000,
22480000,STEP_IDCODE_OK,3.550,0.000
22480000,STEP_CONNECT_BEGIN,3.550,0.000
42480000,SWDIO,3.300,
42485000,SWCLK,3.300,
42485000,SWDIO_SAMPLE_T,3.420,1.000
42490000,SWCLK,0.000,
42495000,SWCLK,3.300,
42495000,SWDIO_SAMPLE_T,3.420,2.000
42500000,SWCLK,0.000,
42505000,SWCLK,3.300,
42505000,SWDIO_SAMPLE_T,3.420,3.000
42510000,SWCLK,0.000,
42515000,SWCLK,3.300,
42515000,SWDIO_SAMPLE_T,3.420,4.000
42520000,SWCLK,0.000,
42525000,SWCLK,3.300,
42525000,SWDIO_SAMPLE_T,3.420,5.000
42530000,SWCLK,0.000,
42535000,SWCLK,3.300,
42535000,SWDIO_SAMPLE_T,3.420,6.000
42540000,SWCLK,0.000,
42545000,SWCLK,3.300,
42545000,SWDIO_SAMPLE_T,3.420,7.000
42550000,SWCLK,0.000,
42555000,SWCLK,3.300,
42555000,SWDIO_SAMPLE_T,3.420,8.000
42560000,SWCLK,0.000,
42565000,SWCLK,3.300,
42565000,SWDIO_SAMPLE_T,3.420,1.000
42570000,SWCLK,0.000,
42575000,SWCLK,3.300,
42575000,SWDIO_SAMPLE_T,3.420,2.000
42580000,SWCLK,0.000,
42585000,SWCLK,3.300,
42585000,SWDIO_SAMPLE_T,3.420,3.000
42590000,SWCLK,0.000,
42595000,SWCLK,3.300,
42595000,SWDIO_SAMPLE_T,3.420,4.000
42600000,SWCLK,0.000,
42605000,SWCLK,3.300,
42605000,SWDIO_SAMPLE_T,3.420,5.000
42610000,SWCLK,0.000,
42615000,SWCLK,3.300,
42615000,SWDIO_SAMPLE_T,3.420,6.000
42620000,SWCLK,0.000,
42625000,SWCLK,3.300,
42625000,SWDIO_SAMPLE_T,3.420,7.000
42630000,SWCLK,0.000,
42635000,SWCLK,3.300,
42635000,SWDIO_SAMPLE_T,3.420,8.000
42640000,SWCLK,0.000,
42645000,SWCLK,3.300,
42645000,SWDIO_SAMPLE_T,3.420,1.000
42650000,SWCLK,0.000,
42655000,SWCLK,3.300,
42655000,SWDIO_SAMPLE_T,3.420,2.000
42660000,SWCLK,0.000,
42665000,SWCLK,3.300,
42665000,SWDIO_SAMPLE_T,3.420,3.000
42670000,SWCLK,0.000,
42675000,SWCLK,3.300,
42675000,SWDIO_SAMPLE_T,3.420,4.000
42680000,SWCLK,0.000,
42685000,SWCLK,3.300,
42685000,SWDIO_SAMPLE_T,3.420,5.000
42690000,SWCLK,0.000,
42695000,SWCLK,3.300,
42695000,SWDIO_SAMPLE_T,3.420,6.000
42700000,SWCLK,0.000,
